"Samuel Scott","ENGR-4141"
"Rodney West","ECSE-4442"
"Vanessa Miller","STSO-3372"
"Levi Parker","ITWS-1086"
"Katherine Haynes","PSYC-4207"
"Lauren Huffman","STSO-3617"
"Jonathan Hall","CSCI-1068"
"Darryl Kent","ENGR-4401"
"Johnathan Wilkerson","ITWS-2241"
"Gabriel Carter","STSO-3777"
"Matthew Garner","CHEM-3848"
"Ryan Mckinney","ITWS-2141"
"David Hensley","BIOL-4218"
"Joshua Bell","CHEM-1229"
"Dawn Johnson","CSCI-4546"
"Richard Crawford","CHEM-3537"
"Julie Alvarez","ITWS-4488"
"John Oliver","CSCI-3849"
"Cristina Morgan","MATH-4681"
"Nathan Shaw","PHYS-3828"
"Alyssa Barajas","PSYC-3300"
"Denise Chase","BIOL-3282"
"Carla Hall","MATH-2926"
"Brian Pena","MATH-3495"
"Samuel Barrett","ECSE-1316"
"Kristina Williamson","CSCI-2621"
"Daisy Madden","ITWS-1074"
"Tim Goodman","BIOL-1535"
"Anne Tyler","BIOL-2595"
"Jason Taylor","ECSE-1369"
"Scott Reynolds","ECSE-4902"
"Daniel Young","CHEM-2168"
"Teresa Brown","STSO-4299"
"Tracey Johnson","PHYS-3585"
"Timothy Fernandez","BIOL-3989"
"Julia Neal","ITWS-1290"
"Jennifer Baldwin","PSYC-2912"
"Debra Patterson","BIOL-2360"
"Jared Lyons","ENGR-1571"
"Amanda Rice","CHEM-1107"
"Danny Johnson","MATH-4824"
"Laurie Thompson","BIOL-3538"
"Angela Thomas","CHEM-1787"
"Shawn Tucker","STSO-3161"
"Elizabeth Andrade","STSO-1010"
"Frank Ross","ECSE-2829"
"Maria Miller","PSYC-4424"
"Peggy Salazar","ECSE-3209"
"Benjamin Gonzalez","MATH-2950"
"Mitchell Griffith","ENGR-3358"
"Haley Johnson","ENGR-2440"
"Collin Harris","PSYC-1606"
"Virginia Williams","STSO-4658"
"Juan Vasquez","CSCI-4089"
"Michelle Powers","MATH-2918"
"April Watson","ECSE-1969"
"Whitney Mcgee","CHEM-4909"
"Paul Frye","STSO-3736"
"Anthony Martinez","BIOL-4889"
"Rodney Lewis","ECSE-4035"
"Adam Parks","MATH-2692"
"Rhonda Oliver","MATH-1599"
"Erin Guerrero","ENGR-1832"
"Kenneth Roberts","ITWS-4181"
"Samuel Lee","MATH-4887"
"Marcia Russo","ECSE-2282"
"Jeffrey Lewis","ECSE-3005"
"Trevor Morgan","CHEM-4642"
"Susan Morris","BIOL-3059"
"Taylor Zavala","MATH-1248"
"Benjamin Shaw","BIOL-2377"
"Krystal Curry","ITWS-1360"
"Danielle Coleman","CSCI-4425"
"Natalie Castaneda","STSO-2209"
"Jeremiah Miller","ENGR-1574"
"Yolanda Lee","ITWS-4561"
"Charles Harris","STSO-2304"
"Crystal Cain","STSO-4506"
"Lauren Edwards","ECSE-2189"
"Karen Jones","PSYC-3652"
"Rebecca Conley","CHEM-3544"
"Ashley Rodriguez","CSCI-4957"
"Christina Singh","ECSE-4035"
"Casey Bush","ECSE-4442"
"Tina Allen","ECSE-2765"
"Benjamin Mclean","ITWS-4910"
"Julia Blankenship","PSYC-4764"
"Lisa Gonzales","ECSE-3560"
"Melinda Gonzales","ECSE-2350"
"Eric Wagner","BIOL-1302"
"Diana Baker","ITWS-3739"
"Andrew Turner","PHYS-4143"
"Heather Torres","MATH-3432"
"Kevin Skinner","CHEM-3334"
"Kevin Garrett","BIOL-2746"
"Kimberly Reyes","ENGR-3617"
"Monica Rodriguez","BIOL-3988"
"Kristen Chandler","CSCI-2001"
"Olivia Jones","BIOL-4352"
"Brooke Lee","STSO-1246"
"Eric Howell","CHEM-3711"
"Vanessa Caldwell","PHYS-2870"
"Ronald White","CSCI-4089"
"Hunter Smith","STSO-2530"
"Nichole Brown","MATH-2074"
"Kevin Rodriguez","ECSE-2288"
"Henry George","STSO-3669"
"Sally Murphy","STSO-4011"
"Tracy Richardson","MATH-2425"
"Charles Hensley","STSO-2810"
"Michelle Powers","PSYC-2912"
"Robert Norman","CSCI-3671"
"Lisa Rivera","BIOL-2880"
"Veronica Hodge","BIOL-3842"
"Lori Brooks","MATH-2535"
"Anne Merritt","CSCI-3499"
"Barbara Guerra","ITWS-4118"
"Jennifer Burch","ITWS-4805"
"Lisa Franklin","ITWS-1898"
"Joshua Macdonald","PSYC-4894"
"Brandon Lopez","ENGR-2621"
"Christopher Watkins","STSO-1046"
"Steven Boyer","STSO-1276"
"Ryan Mckinney","MATH-4817"
"Bryan Gordon","BIOL-3810"
"Jessica Glass","CHEM-2902"
"Isaac Steele","BIOL-4525"
"Leroy Holden","BIOL-1528"
"Marco Lawson","ITWS-4204"
"Michael Carter","BIOL-3188"
"Diamond Dominguez","PSYC-1617"
"Christopher Young","PHYS-4299"
"Elizabeth Peterson","ITWS-2141"
"Richard Jackson","CHEM-3001"
"Brooke Juarez","CHEM-3902"
"Spencer Wright","ENGR-4305"
"Willie Bean","BIOL-2538"
"Tyler Valdez","BIOL-1395"
"Hannah Abbott","ITWS-1519"
"Jordan Griffith","CSCI-2262"
"Tina Flores","BIOL-3166"
"Megan Flores","STSO-2323"
"Christopher Mays","CHEM-3897"
"Howard Walton","CSCI-1539"
"Ariana Zuniga","PHYS-2219"
"James Thompson","ENGR-1561"
"Brittany Hubbard","MATH-3252"
"Hannah Ruiz","MATH-2523"
"Patrick Downs","CHEM-3686"
"Jeffery Goodman","ITWS-3317"
"Christina Gould","PSYC-4142"
"Deborah Perry","ENGR-2322"
"Melinda Wong","BIOL-3723"
"John Garcia","PSYC-3285"
"Joseph Moore","PHYS-4391"
"Jessica Stewart","ECSE-3272"
"Christopher Schneider","PSYC-3681"
"Kevin Sharp","PHYS-1254"
"Cristina Benitez","ITWS-3925"
"Theresa Chaney","BIOL-3110"
"Melissa Greene","MATH-2717"
"Robert Jenkins","MATH-3564"
"Eric Douglas","BIOL-2719"
"Jared King","ITWS-4389"
"Natalie Taylor","ENGR-4955"
"Elizabeth Travis","CHEM-3507"
"Kelli Hughes","MATH-4437"
"Jessica Diaz","MATH-4123"
"Michael Hale","BIOL-4529"
"Albert Dominguez","CHEM-4411"
"Sarah Bishop","CHEM-3001"
"Tabitha Hill","CHEM-1585"
"Cynthia Pierce","MATH-2418"
"Ryan Hill","PHYS-1779"
"Christine Ray","CHEM-4573"
"Ian Khan","ITWS-2455"
"Sandra Cruz","PSYC-2531"
"Joseph Reyes","ECSE-3272"
"Austin Perez","PSYC-1531"
"Christopher Morse","ECSE-1967"
"Lauren Gardner","CSCI-1647"
"Lori Flynn","CHEM-3127"
"Zachary Case","BIOL-4285"
"Deanna Barry","STSO-2099"
"Sharon Keller","CSCI-3402"
"Gregory Rubio","PSYC-2408"
"Erin Vang","STSO-4052"
"Brandon Carter","ENGR-1688"
"Phillip Marshall","ITWS-4118"
"Emily Turner","MATH-3230"
"Maria Brown","ITWS-3654"
"Sean Sharp","ENGR-1654"
"John Carter","ITWS-2094"
"Nicole Cox","MATH-3564"
"Sierra Cruz","PHYS-4920"
"Kyle Ferguson","BIOL-1994"
"Tim Hernandez","ITWS-4812"
"Peter Lane","MATH-3008"
"Oscar Conway","BIOL-2719"
"Kristy Norton","CHEM-4820"
"Anthony Harris","ITWS-2789"
"Michelle Wilson","ITWS-3317"
"Daniel Miranda","STSO-1924"
"Nancy Scott","MATH-2268"
"Justin Hampton","BIOL-2148"
"Joel Jackson","MATH-4414"
"Jennifer Fowler","BIOL-2139"
"Stacy Rodriguez","MATH-4406"
"Kristy Hale","ECSE-4451"
"Megan Wheeler","STSO-4205"
"Maria Jackson","CHEM-2528"
"Darren Lee","STSO-3872"
"Nicole Suarez","MATH-1068"
"Kenneth Smith","STSO-3198"
"Tammy Bailey","PSYC-4420"
"Alice Alexander","CHEM-3600"
"Rebecca Morales","ENGR-3422"
"Nicole Brown","PHYS-4096"
"Rodney Reed","PSYC-1544"
"Glenda Heath","PHYS-4435"
"Joshua Becker","STSO-4273"
"Alyssa Cook","ECSE-1369"
"Sandra Estrada","CHEM-4903"
"Jason Smith","ENGR-1411"
"Deborah Hall","CSCI-2828"
"Richard Phillips","ENGR-4464"
"Drew Ramsey","ITWS-1860"
"Susan Shields","PSYC-3269"
"Ian Mills","BIOL-3318"
"Jennifer Martinez","BIOL-1956"
"Stacey Marsh","ITWS-2789"
"Kirk Morrison","BIOL-3188"
"Tiffany Coleman","CHEM-2168"
"Kendra Atkinson","PHYS-3027"
"Norma Rodriguez","CSCI-2479"
"Brian Cooper","ITWS-2527"
"Jessica Smith","MATH-1106"
"Stacy Davis","ITWS-3269"
"Shannon Wall","ENGR-4174"
"Jesse Davis","PSYC-2558"
"Megan Murphy","PSYC-3070"
"Mackenzie Young","ECSE-1532"
"Tiffany Flores","PHYS-2618"
"Karen Parrish","CHEM-3444"
"Cindy Kennedy","ENGR-1683"
"Morgan Harris","STSO-1631"
"Michelle Cain","MATH-2114"
"Mary Powell","PHYS-3123"
"Jamie Kim","STSO-3633"
"John Baker","ENGR-3498"
"Kathleen Dickerson","STSO-4238"
"Barbara Alvarado","ECSE-3609"
"Robert Villa","BIOL-1896"
"Patricia Torres","PSYC-1794"
"Robert Bryan","PSYC-1765"
"Ariel Hodge","ENGR-4774"
"Travis Martinez","PSYC-4093"
"Margaret Nelson","CSCI-4986"
"Shawn Mccormick","PSYC-2553"
"Jeffrey Campbell","ITWS-4856"
"David Mcdaniel","PSYC-4991"
"Elizabeth Ortiz","MATH-3792"
"Rebecca Black","PHYS-4920"
"Jamie Bowman","STSO-3372"
"Luis Evans","ITWS-3603"
"Matthew Beasley","ITWS-3077"
"Tiffany Watts","ENGR-3955"
"Xavier Williams","ITWS-4255"
"John Lindsey","PHYS-4244"
"Andrea Lawson","STSO-2733"
"Donald Stewart","ECSE-1185"
"Phillip Bautista","ITWS-1618"
"William Rodriguez","ITWS-3550"
"Nancy Li","CHEM-2340"
"Ethan Lopez","CSCI-2441"
"Amber Miller","ECSE-3124"
"Robert Randall","ENGR-1326"
"Allison Watson","STSO-3372"
"Gregory Wright","CSCI-1743"
"Lee Castaneda","ITWS-1219"
"Ethan Robbins","CHEM-4251"
"David Gonzalez","PHYS-3410"
"Michelle Wright","BIOL-3024"
"Maria Johnson","ECSE-2245"
"Rebekah Barajas","BIOL-1679"
"Patricia Vazquez","BIOL-1477"
"Sandra Estrada","STSO-1225"
"Nathaniel Jenkins","ECSE-4951"
"Tiffany Barrett","ENGR-4057"
"Alyssa Williams","CHEM-2180"
"Amber Bailey","ECSE-2711"
"Zachary Cuevas","ENGR-1631"
"Bradley Moreno","STSO-1631"
"Joyce Foster","ENGR-1654"
"Charles Wright","STSO-2099"
"Molly Carlson","ENGR-3505"
"Isabella Griffin","PSYC-3881"
"Wanda Santos","CHEM-4642"
"Robert Kirby","PSYC-2222"
"Jose Villarreal","ECSE-4332"
"Lisa Anderson","PHYS-1254"
"Joseph Roberts","BIOL-1178"
"Abigail Burton","BIOL-3282"
"Sara Nguyen","PHYS-4002"
"David Mullins","BIOL-2297"
"Justin Hays","BIOL-4339"
"Jason Pittman","PSYC-2124"
"Noah Whitaker","ENGR-2505"
"Miguel Smith","MATH-1350"
"Jeff Bush","ECSE-4149"
"Kari Wilson","STSO-1439"
"Dakota Brown","CHEM-3185"
"Robert Miller","BIOL-1375"
"Patricia May","MATH-3445"
"Sarah Robinson","ITWS-3269"
"Vanessa Peck","BIOL-4889"
"Paul Goodwin","PHYS-4092"
"Sierra Price","CHEM-3432"
"Anthony Mcdonald","BIOL-1528"
"Joshua Coleman","BIOL-4285"
"Holly Smith","PSYC-3851"
"Brandi Kim","PHYS-1115"
"Nathan Wu","ENGR-1808"
"Michael Kim","ITWS-3222"
"Scott Taylor","BIOL-2734"
"Michael Everett","CHEM-3626"
"Teresa Ray","BIOL-3562"
"Leonard Taylor","PHYS-2829"
"Richard Myers","CSCI-2292"
"William Bryant","CHEM-2306"
"Sara Cochran","PHYS-3261"
"Michael Gibbs","CSCI-3537"
"Brandon Moyer","CHEM-1819"
"Michelle Davidson","ITWS-1456"
"Patricia Taylor","ECSE-4244"
"James Compton","ENGR-2022"
"Cameron Gibson","CHEM-3163"
"Samantha Garcia","PSYC-1905"
"Kurt French","CHEM-3957"
"Tracy Blair","STSO-1446"
"Jeremy Watkins","ITWS-4812"
"Jeffrey Shaffer","ECSE-3209"
"Tamara Smith","CSCI-1458"
"Susan Rush","BIOL-4629"
"James Horton","ECSE-1617"
"Stephanie Howell","CSCI-3303"
"Jill Sparks","PHYS-2219"
"Timothy Scott","CHEM-1475"
"Jordan Phillips","ENGR-2533"
"Dylan Lester","ITWS-1086"
"Jason Quinn","BIOL-2415"
"Billy Peterson","STSO-3442"
"Gary Mcclure","CHEM-4642"
"Vincent Russell","PSYC-3308"
"Mia Hill","PSYC-1647"
"Bill Brown","ITWS-1051"
"Tiffany Weber","PHYS-3045"
"Caleb Jackson","ECSE-4754"
"Linda Wolfe","CHEM-4691"
"Hunter Lopez","ECSE-2807"
"James Jones","BIOL-3853"
"Nathan Mitchell","BIOL-4935"
"Sarah Gamble","BIOL-4696"
"Tracy Richardson","CHEM-1274"
"Ryan Lucas","PSYC-2637"
"Mason Choi","BIOL-4094"
"Andrew Evans","ITWS-2025"
"Brandy Blackburn","ECSE-2355"
"Andrea Lopez","ECSE-2691"
"Pamela Moore","BIOL-2415"
"Jeffrey Harris","PSYC-3300"
"Bruce Jones","CSCI-2175"
"Jo Miller","CHEM-2426"
"Teresa Brown","PHYS-3072"
"Mackenzie Perry","MATH-4644"
"Tonya Byrd","ENGR-1089"
"Roberto Austin","BIOL-3440"
"Mitchell Griffith","BIOL-1351"
"Robert Bauer","PSYC-3300"
"Alexandra Barnes","BIOL-4629"
"Susan Ellis","ECSE-4136"
"Jocelyn Proctor","BIOL-2139"
"Jennifer Hudson","PSYC-2451"
"Christian Elliott","PHYS-3113"
"Ryan Forbes","CHEM-3851"
"Amy Dunn","BIOL-3773"
"Anna Parker","ITWS-3712"
"Patricia Clark","PHYS-3920"
"Veronica Lamb","ECSE-3564"
"Alex Wilson","PSYC-1434"
"Emma Morgan","ENGR-1883"
"Stephen Carter","ECSE-3842"
"Leah Shields","MATH-4014"
"Hayley Dalton","BIOL-4967"
"Kevin Maynard","PHYS-2761"
"Christopher Wong","BIOL-3833"
"Katherine Myers","ITWS-2672"
"Allen Mosley","STSO-1046"
"Robin Jones","ENGR-3037"
"Robert Bennett","STSO-2494"
"Kimberly Palmer","ITWS-2760"
"Daniel Mora","PSYC-2558"
"Matthew Wright","MATH-4437"
"Amy Thompson","STSO-3442"
"Alexander Gomez","STSO-1818"
"Miranda Silva","ECSE-2711"
"Brittany Meyers","ENGR-2559"
"Eric Martin","BIOL-1528"
"Donald Powell","STSO-2211"
"Brooke Williams","PHYS-4299"
"Judith Horne","MATH-3152"
"Donald Smith","ITWS-1990"
"Gabriel Gay","PSYC-2684"
"Heather Yates","ENGR-3027"
"Cameron Hill","STSO-1409"
"Courtney Montoya","STSO-4942"
"Jeffrey Gibson","BIOL-4555"
"Veronica Davies","ITWS-3739"
"Ryan Allen","MATH-4261"
"Maria Kelley","MATH-1920"
"Joseph Brennan","PSYC-4486"
"Brittany Mclean","PSYC-3967"
"Anna Garcia","CSCI-1734"
"Megan Larson","PSYC-2451"
"Edward Shaffer","CSCI-3372"
"Tiffany Tran","PSYC-1772"
"Leroy Holden","STSO-1884"
"Matthew Chapman","STSO-3633"
"Lindsey Johnson","ECSE-4613"
"Dakota Roth","CSCI-4516"
"Kevin Mayo","ITWS-4393"
"Lee Leon","MATH-1516"
"Nichole Buck","STSO-2635"
"Julie Osborne","ENGR-1499"
"Ann Webb","PHYS-4332"
"Travis Miller","ENGR-1271"
"David Kennedy","MATH-4406"
"Brandon Rice","STSO-3777"
"Jacob Prince","ENGR-1825"
"Andre Li","CHEM-1958"
"Kimberly Rogers","ECSE-1280"
"Shelby Young","STSO-4942"
"Troy Anderson","ENGR-1411"
"Jessica Moss","MATH-4985"
"Wayne Jacobs","PSYC-1482"
"Omar Weaver","PHYS-4872"
"Brandon Rich","ITWS-3648"
"Jeffrey Ramirez","ENGR-4980"
"Jennifer Mcdonald","PSYC-4824"
"Taylor Dougherty","BIOL-2837"
"Jacob Parsons","CHEM-2426"
"Rhonda Brewer","ITWS-4814"
"Christina Cox","CHEM-1360"
"Justin Blanchard","STSO-2924"
"Charles Townsend","BIOL-3523"
"Judith Salas","ENGR-2255"
"Brian Shaw","PHYS-2829"
"Laura Peck","MATH-4185"
"Joel Sullivan","BIOL-4529"
"Michael Burton","STSO-4052"
"Brian Welch","ITWS-1064"
"Matthew Long","PSYC-2556"
"Cynthia Rodriguez","ECSE-3365"
"Jennifer Blair","STSO-4738"
"Shawn Anderson","ITWS-1546"
"Joe Jones","CHEM-1173"
"Tonya Peterson","STSO-3633"
"George Carter","CHEM-1151"
"Christine Dickson","STSO-1796"
"Barbara Hayes","MATH-4199"
"Cory Jackson","CHEM-3153"
"Melissa Bonilla","CSCI-2508"
"Joseph Johnson","ENGR-1271"
"Ronald Fisher","ECSE-3873"
"Jessica Costa","PHYS-4141"
"Michaela Boyer","BIOL-3875"
"Timothy Yates","ITWS-1693"
"Alexander Dennis","PSYC-3180"
"Madison Zavala","MATH-2809"
"Taylor Johnson","BIOL-4555"
"Kimberly West","CHEM-4642"
"Kimberly Freeman","PSYC-3289"
"Jamie Robinson","BIOL-3442"
"Daniel Banks","ECSE-3041"
"Christian Contreras","CHEM-1178"
"Ruth Welch","ITWS-4330"
"Justin Hobbs","ENGR-2630"
"William Chapman","PSYC-1689"
"Kyle Ward","PSYC-4486"
"Pamela Myers","BIOL-4218"
"Gwendolyn Riley","STSO-2260"
"Daniel Terry","CHEM-1958"
"Gabriel Carter","ITWS-1074"
"Melanie Cobb","CSCI-3899"
"Kendra Snyder","CSCI-2640"
"Grace Graham","STSO-3816"
"Christopher Peck","PHYS-4118"
"Kaitlin Guerra","BIOL-3483"
"Pamela Sanchez","ENGR-2427"
"Christian Crawford","CSCI-1674"
"Douglas Keller","PHYS-2862"
"Justin Campbell","MATH-4040"
"Brandy Dominguez","ENGR-2405"
"Michael Ellis","STSO-1214"
"Jill Porter","BIOL-3166"
"Nicole Phillips","MATH-2919"
"Denise Turner","BIOL-3579"
"Harry White","MATH-4856"
"Kyle Hunter","ECSE-4113"
"Megan Logan","PSYC-1848"
"Alyssa Coleman","ECSE-3005"
"Kelsey Aguirre","BIOL-2209"
"Jessica Moss","STSO-2948"
"James Garza","CSCI-4546"
"William Perry","CSCI-4986"
"Zachary Le","PHYS-4166"
"David Munoz","STSO-1683"
"Danielle Rodriguez","STSO-3094"
"Seth Barnes","MATH-2918"
"James Matthews","ENGR-4148"
"Mary Murphy","ECSE-3005"
"Monica Davenport","PSYC-4698"
"Jasmine Richardson","MATH-2817"
"Shane Parker","ITWS-4955"
"Heidi Smith","ECSE-3028"
"Natalie Johnson","ITWS-4814"
"Heather Williams","CHEM-4820"
"Jesse Carter","ITWS-4526"
"Andrea Lawson","CHEM-3059"
"Maria Horton","PSYC-4372"
"Elizabeth Flores","MATH-4777"
"Nicole Gilbert","ITWS-2789"
"Randall Parker","CHEM-4878"
"Richard Jackson","ENGR-1907"
"Randall Willis","STSO-2470"
"Pamela Paul","MATH-1336"
"Nicole Mooney","BIOL-4302"
"Robert Washington","MATH-3144"
"Bobby Mckenzie","ECSE-1663"
"Christopher Mays","CSCI-4578"
"Daniel Jones","BIOL-2288"
"Nicole Smith","CHEM-4341"
"Hannah Lee","MATH-2280"
"Allen Holt","ITWS-1436"
"Megan Morris","MATH-1248"
"Whitney Mcgee","BIOL-1679"
"Amy Adams","PSYC-3840"
"Jennifer Hess","CSCI-4885"
"Kathy Obrien","STSO-1536"
"Leonard Bernard","BIOL-3841"
"Nathan Miles","BIOL-1522"
"Brittany Price","ECSE-3573"
"Kimberly Garcia","BIOL-2393"
"Sandra Friedman","PSYC-1765"
"Kevin Morgan","MATH-2026"
"Leslie Patterson","PHYS-4341"
"Matthew Adams","ECSE-1525"
"Daniel Roberts","PSYC-3785"
"Michael Bowers","ITWS-1355"
"Jessica Elliott","STSO-3591"
"Keith Ellis","PSYC-2186"
"Isaiah Reese","PSYC-4420"
"Renee Rivera","PHYS-2581"
"Tammy Bell","PSYC-2684"
"Cheyenne Strickland","STSO-3706"
"James Hicks","CSCI-2222"
"Sandra Grant","MATH-4437"
"Laura Figueroa","ECSE-2807"
"Jared Wells","ITWS-1970"
"Kristin Smith","STSO-3837"
"Jacob Prince","STSO-3822"
"Dawn Ross","STSO-4887"
"Sarah Andersen","MATH-3432"
"Kristen Frost","STSO-1536"
"Danielle Silva","MATH-3786"
"Tony Rodriguez","MATH-3519"
"Krystal Gibson","STSO-3487"
"Eric Young","STSO-3234"
"Tammy Walker","PHYS-1913"
"Brooke Ewing","ITWS-1269"
"Melanie Rivera","ENGR-2255"
"Christina Oliver","BIOL-2210"
"Rick Daniels","MATH-1573"
"Roy Hawkins","CSCI-1674"
"Samantha Atkins","ITWS-3780"
"Darlene Lee","MATH-4238"
"Adrian Morrison","PHYS-4541"
"Jay Johnson","STSO-3642"
"Lawrence Carr","CSCI-3849"
"Krista Best","ENGR-3640"
"Anthony Swanson","CHEM-3848"
"Steven Cortez","ENGR-3557"
"Megan Perez","ECSE-4124"
"John Barnett","MATH-3051"
"Mary Thomas","ITWS-4682"
"Allison Luna","CHEM-1868"
"Kristin Walker","PHYS-4345"
"Barbara Graham","ENGR-4589"
"Amy Adams","STSO-4911"
"Richard Cline","ITWS-4929"
"Anthony Pace","ITWS-4824"
"Kristopher Nicholson","ENGR-1789"
"Angel Larson","CSCI-3703"
"Lindsay Barton","CHEM-2306"
"Sandra Thompson","ITWS-1277"
"Whitney Mcgee","MATH-3752"
"Jacob Garcia","MATH-4665"
"Christina Klein","CSCI-3335"
"Tina Allen","BIOL-4332"
"Audrey Clarke","STSO-2306"
"Douglas Cervantes","ECSE-4250"
"Rebecca Patrick","CHEM-1024"
"Janet Bennett","BIOL-2845"
"Lindsay Collins","STSO-4213"
"Travis Caldwell","PHYS-2316"
"Thomas Maldonado","BIOL-1535"
"Jesus Brewer","MATH-1092"
"Laura Flores","CSCI-4546"
"William Hale","ITWS-2193"
"Wendy Vargas","CSCI-4097"
"James Clark","BIOL-1433"
"Renee Porter","PHYS-3486"
"Kelly Johnson","STSO-3375"
"Jeffrey Shaffer","BIOL-2210"
"Stephanie Murray","PSYC-2408"
"Melanie Ramirez","STSO-2306"
"Amanda Ward","CSCI-3536"
"Eric Martinez","MATH-3152"
"Charles Ryan","CHEM-2217"
"Courtney Hernandez","PSYC-4174"
"Kelly Green","CHEM-4958"
"Alexandra Green","PHYS-1779"
"Randy Salas","PHYS-4971"
"Joshua Johnson","PHYS-1842"
"Belinda Glass","MATH-3786"
"Kristina Holland","PHYS-1779"
"Gregory Brock","MATH-1599"
"Jacob Terry","CHEM-1301"
"Patrick Eaton","PSYC-1518"
"Donna Massey","BIOL-2529"
"Jeffrey Wilson","CSCI-2002"
"Leslie Hudson","STSO-2299"
"Megan Taylor","MATH-1770"
"Maria Solis","ENGR-4002"
"Alicia Romero","BIOL-1760"
"Rhonda Forbes","BIOL-1682"
"Robin Diaz","STSO-2948"
"Billy Hernandez","CSCI-2689"
"David Davis","STSO-3715"
"Joshua Thomas","ENGR-2634"
"Matthew Guzman","CSCI-2073"
"Carrie Walsh","MATH-2692"
"Jerry Edwards","BIOL-2837"
"Mary Walter","ECSE-4282"
"Deanna Nelson","BIOL-4889"
"Kyle Harmon","MATH-3796"
"Michelle Carter","CSCI-4681"
"Thomas Massey","CHEM-1744"
"Steven Lindsey","ITWS-2223"
"Steven Perez","PHYS-3585"
"Mary Jones","STSO-4480"
"Daniel Osborne","ENGR-4209"
"Amy Moore","CHEM-4151"
"Amanda Thomas","ECSE-4825"
"Ian Lewis","BIOL-3841"
"Melissa Mendez","ITWS-3744"
"Ashley Bass","STSO-2838"
"John Roy","STSO-1467"
"Jocelyn Proctor","MATH-4870"
"Amanda Bradley","CHEM-3449"
"Jacob Mason","CHEM-3384"
"Jenna Henderson","ENGR-1841"
"Christopher Robertson","ECSE-1338"
"Richard Jackson","STSO-2543"
"Alexis Wells","PSYC-1694"
"Victor Pena","CHEM-4201"
"Kiara Adkins","BIOL-4539"
"Richard Osborne","BIOL-2393"
"Holly Hunter","ENGR-2544"
"John Montgomery","PSYC-1871"
"Jerry Guzman","MATH-3144"
"Cindy Hall","STSO-2754"
"Anthony Mclaughlin","PSYC-1888"
"Nicholas Jenkins","BIOL-3723"
"Christine Galvan","PHYS-2904"
"Devin Poole","MATH-3564"
"Kimberly Miller","MATH-2270"
"Matthew Lee","ENGR-2701"
"Mark Miller","BIOL-2845"
"Veronica Castro","MATH-1516"
"Paula Williams","BIOL-2746"
"Jennifer Blair","BIOL-2393"
"Jennifer Brown","PHYS-1494"
"Matthew Mason","CSCI-2292"
"Patricia Adams","CHEM-1875"
"Brenda Christian","PSYC-3711"
"Shannon Hammond","PHYS-3071"
"Ricky Garcia","STSO-1607"
"Kimberly Hernandez","ITWS-3317"
"Cheryl Moss","ENGR-1883"
"Sara Davis","ENGR-2871"
"Michael Barnes","CHEM-1819"
"Ashley Jackson","PSYC-2408"
"Gloria Clay","ECSE-2282"
"Michael Brown","CSCI-1584"
"Aaron Schneider","MATH-3144"
"Christopher Mckenzie","STSO-1302"
"Mary Collins","MATH-4123"
"Mark Lee","PSYC-2235"
"Angela Thomas","STSO-3570"
"Kari Wilson","CHEM-1570"
"Kristen Graham","ECSE-2955"
"Jacqueline Johnston","PSYC-3479"
"Judy Nicholson","CSCI-4238"
"Andrew Sharp","CSCI-3402"
"Elaine Wilson","ENGR-4136"
"William Perry","BIOL-3915"
"Douglas Johnson","STSO-2260"
"Michelle Johnson","PSYC-3228"
"Amy Thomas","MATH-3173"
"Suzanne Kemp","ITWS-4176"
"James Daniels","BIOL-3318"
"Joshua Sanchez","BIOL-2388"
"Alejandro Vaughan","ENGR-2891"
"Darlene Malone","ECSE-4485"
"Andrew Williams","STSO-3617"
"Brenda Moore","PHYS-4118"
"Stephen Carter","ECSE-1066"
"Sara Marshall","CHEM-2180"
"Lori Smith","ECSE-1763"
"Thomas Williams","ECSE-1280"
"James Gibson","PHYS-1237"
"Karen Swanson","MATH-1961"
"Paul Cox","ECSE-1673"
"Jeffery Turner","MATH-3978"
"Laurie Griffin","ITWS-4238"
"Molly Jones","MATH-4040"
"Nathan Roberts","ENGR-3731"
"Pamela Martinez","PHYS-2180"
"Terri Gonzalez","ENGR-1133"
"Devon Munoz","PHYS-4757"
"Calvin Roberts","ITWS-1644"
"Erin Hughes","PSYC-2826"
"Douglas Nguyen","ECSE-2282"
"Dakota Sullivan","CHEM-2426"
"Kathryn Best","CHEM-4600"
"Whitney Mcgee","STSO-2260"
"Dylan Garcia","MATH-1895"
"Keith Tucker","CSCI-3453"
"Peter Jones","CSCI-4545"
"Matthew Kelly","MATH-1185"
"Lindsey Evans","CSCI-2883"
"Stacy Fry","ECSE-2101"
"John Thompson","ENGR-1133"
"Sandra Cabrera","ITWS-3271"
"Patrick Rose","CHEM-3521"
"Robin Spencer","BIOL-4168"
"Rachel Allen","CHEM-3785"
"Kevin Brock","STSO-1276"
"Russell Campbell","ECSE-3859"
"David Fisher","STSO-2494"
"Rachel Elliott","MATH-2576"
"Ronald Holden","CSCI-3024"
"David Frank","PSYC-2408"
"Jack Hart","BIOL-2871"
"Ian Khan","ITWS-2803"
"Jennifer Sanders","ENGR-1326"
"Heather Crawford","PSYC-1328"
"Natasha Wang","PHYS-4402"
"Rebecca Bailey","BIOL-2393"
"Matthew Moore","STSO-2470"
"Lauren Martinez","ECSE-3698"
